Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Total_crimes,Marriages_per_1000,Divorces_per_1000,Median_price_sqm
2024,Abrantes,33770,16.5,0,7,1328,1289,15,840,2.6,1.4,717
2024,Agueda,47727,11.4,0,7.3,1157,1280.2,14,1420,1.4,1.8,960
2024,Aguiar Da Beira,5326,23.5,0,5.1,82,1016.9,2,140,3.2,1.3,378
2024,Alandroal,4973,21.1,0,5.8,81,1171.4,4,91,4.8,1.8,705
2024,Albergaria-A-Velha,26171,10.2,5.7,6.8,516,1349.1,9,830,4,1.6,1198
2024,Albufeira,48807,8.7,9.5,10.9,2592,1216.3,9,3819,5.9,1.9,2921
2024,Alcacer Do Sal,11036,15,0,5.7,182,1210.1,5,615,2.4,1.1,1394
2024,Alcanena,12876,13.1,11.2,6.9,280,1324.3,5,358,0.7,1.3,680
2024,Alcobaca,57973,12.3,0,7.5,1171,1214.6,16,1402,4,1.7,1330
2024,Alcochete,20462,8.4,0,8.1,403,2338.9,5,606,7.5,2.1,2073
2024,Alcoutim,2401,24.1,0,2.5,33,1145.8,2,99,4.2,0.8,
2024,Alenquer,49474,9.4,6.8,9,1371,1382.7,13,1314,3.9,1.5,1529
2024,Alfandega Da Fe,4178,18.3,0,2.6,211,1002.3,2,110,1.4,1.9,323
2024,Alijo,10296,13.7,20,4.8,507,1107.7,8,229,1.2,1.1,466
2024,Aljezur,6501,12.3,0,9,200,1093.1,3,354,8.7,1.6,3018
2024,Aljustrel,8923,15.1,0,8.3,245,1473.4,5,307,1.3,1.1,592
2024,Almada,183643,11.8,9.3,9.5,5578,1354.3,49,7439,2.2,1.6,2578
2024,Almeida,5634,25.1,0,3,83,1083.5,2,280,0.9,0.4,316
2024,Almeirim,23087,14.8,6.1,7.1,571,1235.1,7,895,3.7,1.7,1074
2024,Almodovar,6652,20.2,0,6,134,1117.8,2,196,3.1,0.7,568
2024,Alpiarca,7493,14.8,0,8.2,173,1154.9,3,340,2.6,1.4,984
2024,Alter Do Chao,3222,21.2,0,5.3,123,1103.3,4,112,3.7,0,452
2024,Alvaiazere,6479,15.4,0,5.5,113,1135.6,4,148,3,1.4,573
2024,Alvito,2303,19.6,45.5,9.6,74,1266,2,107,5.2,1.3,764
2024,Amadora,181607,9.4,5.6,11.8,4895,1734.8,42,5241,1,1.6,2493
2024,Amarante,52169,11,3.4,5.7,1940,1133.8,14,1034,4.1,2,943
2024,Amares,19782,10.1,0,6.5,515,1152.4,4,355,3.5,1.4,1140
2024,Anadia,28512,13.8,0,6.2,501,1203.3,13,648,2.9,1.8,757
2024,Angra Do Heroismo,33701,10.9,0,6.5,,1266.8,10,1180,5.2,2.2,1015
2024,Ansiao,11930,14.5,0,5,234,1182.5,5,230,2.3,1.5,553
2024,Arcos De Valdevez,20819,19.3,0,5.1,461,1140.4,6,643,2.5,1.1,773
2024,Arganil,11447,16,16.9,5.2,328,1070.2,4,244,3,1.5,548
2024,Armamar,5635,15.2,47.6,3.7,204,1070.8,2,117,3.9,1.2,200
2024,Arouca,20826,10.3,0,6.2,424,1174.6,7,304,3,1.9,727
2024,Arraiolos,6870,13.6,20.8,7,110,1200.1,6,158,3.4,1.5,825
2024,Arronches,2767,21.7,0,6.5,55,1101.5,3,65,4,2.2,610
2024,Arruda Dos Vinhos,15752,8.7,0,8,242,1283.1,2,402,4.9,1.7,1605
2024,Aveiro,88154,8.8,0,7.4,2287,1517.8,21,2786,3.8,2.1,1762
2024,Avis,3759,21.7,0,5.6,132,1193.6,5,280,2.9,0,567
2024,Azambuja,23448,11,0,7.7,592,1226.3,6,983,3.2,1.1,1309
2024,Baiao,17088,11.6,0,5.5,867,1039.5,6,421,2.3,1.5,573
2024,Barcelos,116959,8.5,3.5,7.4,2504,1165.1,27,1906,3.2,1.8,1277
2024,Barrancos,1415,22.5,0,6.3,67,1036.5,1,71,5.6,2.1,
2024,Barreiro,81131,12.6,3.6,10.4,3104,1337.8,23,3286,5,2,1922
2024,Batalha,16894,10.9,0,7,274,1294.8,4,457,3.3,1.8,886
2024,Beja,33954,13.4,0,8.9,1237,1298.9,13,1542,3.2,1.8,890
2024,Belmonte,6265,15.2,0,5.8,203,1041.9,2,269,1.4,0.6,517
2024,Benavente,33131,10.3,0,8.7,925,1348.8,7,1072,3.3,1.8,1527
2024,Bombarral,14272,12.5,0,5.7,336,1130.1,4,348,4.7,1.9,1272
2024,Borba,6378,17.5,0,5.8,228,1139.8,4,211,0.9,0.8,654
2024,Boticas,4832,21.4,0,4.9,99,1051.7,2,113,1.2,1.4,
2024,Braga,203519,7.3,3.2,7.8,6241,1391.4,38,4675,3.8,1.6,1620
2024,Braganca,35581,14.6,0,6.2,1138,1236.4,9,1012,2.9,1.8,820
2024,Cabeceiras De Basto,15538,11.6,0,6.5,662,1016.1,4,348,4,1.7,545
2024,Cadaval,14711,13,0,5.4,293,1176.9,5,332,2.3,1.6,1031
2024,Caldas Da Rainha,55206,11.3,2.6,7.1,1318,1241.3,15,1339,3.2,1.3,1552
2024,Calheta [R.A.A.],3486,12,43.5,6.6,,1078.9,2,74,1.4,2,601
2024,Calheta [R.A.M.],11377,10.8,0,6.9,,1321.5,4,147,6.8,1.7,1244
2024,Camara De Lobos,33243,7.9,0,9.3,,1137.2,8,963,2.9,1.6,1504
2024,Caminha,16604,12.6,10.4,5.8,380,1069.7,5,591,2.8,1.8,1372
2024,Campo Maior,7877,12.9,0,5.1,347,1496.2,4,392,2.3,1.6,556
2024,Cantanhede,35399,13.5,0,7,736,1290.3,16,1094,3.1,1.5,932
2024,Carrazeda De Ansiaes,5368,18.4,0,2.2,198,1012.8,2,116,2.4,2,369
2024,Carregal Do Sal,9261,15.5,0,6.7,255,1207.8,5,242,2.1,2.1,438
2024,Cartaxo,24711,11.9,0,6.5,536,1243.7,8,694,3.7,1.9,1159
2024,Cascais,222339,9.9,5.2,7.8,5877,1449.8,42,6281,3.3,1.6,3872
2024,Castanheira De Pera,2756,13.9,0,6.2,78,1076.2,1,100,2.6,0.7,402
2024,Castelo Branco,53342,14.9,0,7.6,2000,1199.5,18,1750,3.6,2.1,686
2024,Castelo De Paiva,15395,9.6,0,5.6,563,1077.4,4,269,3.9,1,681
2024,Castelo De Vide,3180,20.7,0,5.3,52,1102.9,3,118,4.4,0.9,547
2024,Castro Daire,13790,16.9,0,4.5,463,1078.7,5,250,4.1,2.2,458
2024,Castro Marim,6983,15.8,0,6.5,175,1088.5,2,309,7.2,0.6,2063
2024,Castro Verde,6946,18.1,0,7.9,138,2479.1,3,226,2,1.6,854
2024,Celorico Da Beira,6635,17.8,0,5.6,158,1165.1,4,171,1.4,1.4,333
2024,Celorico De Basto,17637,13.7,0,4.8,760,1015.3,5,328,2.5,1.5,540
2024,Chamusca,8549,17.9,0,8.1,164,1194.4,9,249,0.2,0.6,709
2024,Chaves,37322,15.6,0,5.4,1265,1181.3,12,1113,4,1.9,958
2024,Cinfaes,17293,13.2,0,5.2,969,1080.7,9,337,2.2,1.8,333
2024,Coimbra,146899,10.8,0.9,7.5,4206,1418.6,49,4003,2.6,1.6,1719
2024,Condeixa-A-Nova,17882,11.8,0,7.8,290,1237.9,5,211,4.1,1.4,1239
2024,Constancia,4020,14.3,37,6.8,112,1418.8,3,89,7,1.8,835
2024,Coruche,17298,21.5,12.2,4.7,485,1209.6,6,633,2.5,1.4,1098
2024,Corvo,437,11.5,0,2.3,,1500.1,1,3,2.3,0,
2024,Covilha,46606,13.6,0,6.3,1596,1178.5,22,1534,2.9,1.6,779
2024,Crato,3249,26.7,0,4.9,100,1055.9,5,103,4,0.9,313
2024,Cuba,4469,20.1,27,8.3,168,1110.8,3,225,4.9,1.1,653
2024,Elvas,20325,15.2,0,6.6,978,1098,10,881,2.9,1.7,719
2024,Entroncamento,22604,10.3,0,11.3,831,1343.3,4,912,1.7,1.4,1231
2024,Espinho,32736,12.6,0,4.9,1107,1244.2,10,1069,10.8,1.3,2315
2024,Esposende,37722,8.5,3.2,8.3,764,1160.4,8,1012,4.1,1.5,1739
2024,Estarreja,27474,12.5,5.2,7,730,1504.1,6,855,2.9,1.8,1017
2024,Estremoz,12482,16.8,0,8.5,323,1170.8,7,405,3.4,1.6,775
2024,Evora,53908,12.4,2.3,8.1,1490,1369.7,22,1441,4.8,1.6,1878
2024,Fafe,48420,11,0,6.6,1890,1065,9,1281,3.7,1.5,1064
2024,Faro,70347,10.7,1.7,8.3,1812,1375.8,17,3500,2.4,1.6,2388
2024,Felgueiras,55223,7.9,5.1,7.1,2381,1096.3,12,1424,3.3,1.4,936
2024,Ferreira Do Alentejo,7902,21.5,0,7.5,309,1230.3,6,387,5.1,1.3,496
2024,Ferreira Do Zezere,8115,13.4,0,5,109,1158.4,4,188,3.3,1.3,832
2024,Figueira Da Foz,61397,13.4,0,6.8,2338,1395.5,24,1579,4.1,1.7,1450
2024,Figueira De Castelo Rodrigo,5021,21.5,0,5.6,138,1036.3,3,211,1.2,2.4,238
2024,Figueiro Dos Vinhos,5325,14.7,0,5.5,159,1077.2,6,109,2.3,1,560
2024,Fornos De Algodres,4400,18,87,5.2,118,1011.3,2,121,2.5,0.2,257
2024,Freixo De Espada A Cinta,3058,30.7,55.6,5.8,157,1050.9,1,126,1.9,0.6,364
2024,Fronteira,2974,21.2,0,5,85,1111.3,3,69,7.1,1.4,573
2024,Funchal,108129,10.8,1.4,6.5,,1377.8,28,3551,4.8,2,2641
2024,Fundao,27285,15.7,0,6.2,682,1186.9,10,1159,3.7,1.4,596
2024,Gaviao,3263,34.9,0,3.9,79,1252.5,4,105,3.9,0,335
2024,Gois,3822,21.5,0,6,104,1001,2,96,1.3,0.5,469
2024,Golega,5488,15.4,0,6,81,1224.7,3,186,17,2.6,851
2024,Gondomar,169388,9.6,2.6,6.8,5410,1222.9,34,3256,2,1.8,1724
2024,Gouveia,12301,18.7,0,4.9,326,1098.8,8,299,2.5,1.9,406
2024,Grandola,14226,15.1,0,10,207,1408.7,5,714,3.7,1.3,1934
2024,Guarda,40046,13.4,0,6.8,993,1330.6,13,988,3,1.2,777
2024,Guimaraes,156513,8.9,1.8,7.2,6602,1179,35,3032,2.2,1.7,1263
2024,Horta,14466,9.9,8.9,7.7,,1315.4,5,448,3.2,2.1,1029
2024,Idanha-A-Nova,8541,25.2,0,5.8,415,1171.5,8,424,2.3,0.9,252
2024,Ilhavo,43210,9.4,0,6.8,1032,1403.3,8,1466,2.1,1.3,1603
2024,Lagoa,25535,9.8,0,8.6,826,1264,8,1126,2.9,1.9,2758
2024,Lagoa [R.A.A.],15130,7.6,0,8.7,,1173,5,670,1.1,1.8,1248
2024,Lagos,35241,10.7,10.5,8.2,1009,1185.7,8,1490,5.1,1.7,3273
2024,Lajes Das Flores,1456,13.1,0,7.6,,1122,0,21,2.1,2.8,
2024,Lajes Do Pico,4398,15.5,26.3,8.6,,1064.6,2,51,2.7,1.1,994
2024,Lamego,24037,13.1,0,5.1,1487,1123.1,12,522,3,1.7,695
2024,Leiria,136006,9.9,0,8,3211,1334.9,33,3584,3.5,1.8,1412
2024,Lisboa,575739,11.5,1.7,10.1,18662,1985.6,245,30853,4.9,1.4,4207
2024,Loule,75764,11.6,6.3,10.6,2000,1264.5,15,4650,2.8,1.4,3418
2024,Loures,209877,9.8,3,11.1,6038,1440.3,54,6210,2.6,1.5,2534
2024,Lourinha,28978,11.5,0,7.9,645,1169.6,6,793,4.1,0.8,1563
2024,Lousa,17662,11.6,0,6.2,516,1220.6,5,303,3,2.7,1021
2024,Lousada,48652,7.8,0,7.5,1585,1076.2,9,962,2.6,1.6,1009
2024,Macao,6399,23.1,0,3.9,121,1072.8,5,215,1.6,0.5,286
2024,Macedo De Cavaleiros,14253,14.7,0,4.4,557,1108,4,364,3.4,0.8,503
2024,Machico,19679,11.8,24.4,6.3,,1229.7,5,475,4.5,2,1626
2024,Madalena,6559,11.9,0,7.3,,1136.7,2,232,3.7,3.4,1187
2024,Mafra,91248,7.3,4,8.3,1413,1256,17,2340,4.9,1.7,2340
2024,Maia,144664,8,2,6.8,3512,1524.7,28,4048,3.2,1.7,1899
2024,Mangualde,18766,14.8,0,6,549,1342.5,8,586,4.3,2.3,520
2024,Manteigas,2951,12.6,0,6.5,52,1067.3,2,84,3.4,0,379
2024,Marco De Canaveses,49501,9.4,0,6.8,2579,1087.3,12,1173,4.1,2,860
2024,Marinha Grande,41773,10.7,6.7,7.2,1635,1515.6,9,1258,3.3,1.8,1174
2024,Marvao,3020,18.9,0,7.3,51,972.4,3,62,3.3,2.3,505
2024,Matosinhos,181046,9.9,3.5,6.4,6200,1600.7,37,5202,2.7,1.7,2387
2024,Mealhada,20023,11.7,0,5.9,385,1340.5,7,500,4,1.6,977
2024,Meda,4594,17,0,5.2,51,1019.1,1,113,2.2,0.7,412
2024,Melgaco,7557,22.6,0,3.8,107,1069.4,3,317,1.8,1.3,382
2024,Mertola,6066,21.8,0,4.4,148,1038.6,2,137,3.1,0.5,472
2024,Mesao Frio,3449,16.4,0,3.5,168,1029.5,3,96,6.1,0.9,488
2024,Mira,12720,13.8,0,6.5,277,1144.4,6,326,1.8,0.8,1159
2024,Miranda Do Corvo,12269,14.1,0,5.6,301,1098,3,205,2.5,2,793
